2023-05-22 20:05:604 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (37e9ae57fb8a28ccf70c0ba239e7b279)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2023-05-22 20:05:877 INFO  AddCustomerPage :32 - Send text [[ChromeDriver: chrome on WINDOWS (37e9ae57fb8a28ccf70c0ba239e7b279)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2023-05-22 20:05:976 INFO  AddCustomerPage :36 - Send text [[ChromeDriver: chrome on WINDOWS (37e9ae57fb8a28ccf70c0ba239e7b279)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2023-05-22 20:05:111 INFO  AddCustomerPage :40 - Send text E13DS
2023-05-22 20:05:194 INFO  AddCustomerPage :44 - Click on [[ChromeDriver: chrome on WINDOWS (37e9ae57fb8a28ccf70c0ba239e7b279)] -> xpath: //button[@type='submit']]
2023-05-22 20:05:226 INFO  AddCustomerPage :48 - Accept alert
2023-05-22 20:05:744 INFO  HomePage :24 - Click on 
2023-05-22 20:05:188 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 20:05:461 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (9b5db6936637a2619a2e5f83bbed76bb)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 20:05:00 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (9b5db6936637a2619a2e5f83bbed76bb)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2023-05-22 20:05:315 INFO  AddCustomerPage :32 - Send text [[ChromeDriver: chrome on WINDOWS (9b5db6936637a2619a2e5f83bbed76bb)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2023-05-22 20:05:417 INFO  AddCustomerPage :36 - Send text [[ChromeDriver: chrome on WINDOWS (9b5db6936637a2619a2e5f83bbed76bb)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2023-05-22 20:05:550 INFO  AddCustomerPage :40 - Send text E13DS
2023-05-22 20:05:632 INFO  AddCustomerPage :44 - Click on [[ChromeDriver: chrome on WINDOWS (9b5db6936637a2619a2e5f83bbed76bb)] -> xpath: //button[@type='submit']]
2023-05-22 20:05:651 INFO  AddCustomerPage :48 - Accept alert
2023-05-22 20:05:671 INFO  HomePage :24 - Click on 
2023-05-22 20:05:994 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 20:05:425 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (6c6c6aacb201a35b2b01f0ca952783e9)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 20:05:966 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (6c6c6aacb201a35b2b01f0ca952783e9)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2023-05-22 20:05:314 INFO  AddCustomerPage :32 - Send text [[ChromeDriver: chrome on WINDOWS (6c6c6aacb201a35b2b01f0ca952783e9)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2023-05-22 20:05:415 INFO  AddCustomerPage :36 - Send text [[ChromeDriver: chrome on WINDOWS (6c6c6aacb201a35b2b01f0ca952783e9)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2023-05-22 20:05:534 INFO  AddCustomerPage :40 - Send text E13DS
